Item_Identifier,Item_Weight,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Item_Outlet_Sales,Outlet_Years,Item_Fat_Content_1,Item_Fat_Content_2,Outlet_Location_Type_1,Outlet_Location_Type_2,Outlet_Size_1,Outlet_Size_2,Outlet_Size_3,Outlet_Type_1,Outlet_Type_2,Outlet_Type_3,Item_Type_Combined_1,Item_Type_Combined_2,Outlet_1,Outlet_2,Outlet_3,Outlet_4,Outlet_5,Outlet_6,Outlet_7,Outlet_8,Outlet_9
FDA15,9.3,0.9229596700085656,Dairy,249.8092,OUT049,1999,3735.138,14,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True
DRC01,5.92,1.0030565792305357,Soft Drinks,48.2692,OUT018,2009,443.4228,4,False,True,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
FDN15,17.5,0.8319896179620336,Meat,141.618,OUT049,1999,2097.27,14,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True
FDX07,19.2,0.75,Fruits and Vegetables,182.095,OUT010,1998,732.38,15,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
NCD19,8.93,0.6666666666666667,Household,53.8614,OUT013,1987,994.7052,26,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False
FDP36,10.395,0.75,Baking Goods,51.4008,OUT018,2009,556.6088,4,False,True,False,True,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
FDO10,13.65,0.9582063856971155,Snack Foods,57.6588,OUT013,1987,343.5528,26,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False
FDP10,19.0,0.9946778305578745,Snack Foods,107.7622,OUT027,1985,4022.7636,28,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False
FDH17,16.2,0.90399742766201,Frozen Foods,96.9726,OUT045,2002,1076.5986,11,False,True,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False
FDU28,19.2,0.8736089527619524,Frozen Foods,187.8214,OUT017,2007,4710.535,6,False,True,True,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False
FDY07,11.8,0.6363636363636364,Fruits and Vegetables,45.5402,OUT049,1999,1516.0266,14,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True
FDA03,18.5,0.9070814723108068,Dairy,144.1102,OUT046,1997,2187.153,16,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False
FDX32,15.1,0.9069378583734613,Fruits and Vegetables,145.4786,OUT049,1999,1589.2646,14,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True
FDS46,17.6,0.8677308071633344,Snack Foods,119.6782,OUT046,1997,2145.2076,16,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False
FDF32,16.35,0.971010996517429,Fruits and Vegetables,196.4426,OUT013,1987,1977.426,26,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False
FDP49,9.0,0.9075715792183816,Breakfast,56.3614,OUT046,1997,1547.3192,16,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False
NCB42,11.8,1.0030881886774816,Health and Hygiene,115.3492,OUT018,2009,1621.8888,4,True,False,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
FDP49,9.0,0.90898261217894,Breakfast,54.3614,OUT049,1999,718.3982,14,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True
DRI11,8.26,0.8266123043984333,Hard Drinks,113.2834,OUT027,1985,2303.668,28,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
FDU02,13.35,0.901997196075441,Dairy,230.5352,OUT035,2004,2748.4224,9,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False
FDN22,18.85,0.9964460714177477,Snack Foods,250.8724,OUT013,1987,3775.086,26,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False
FDW12,8.315,0.9073565158740483,Baking Goods,144.5444,OUT027,1985,4064.0432,28,False,True,False,True,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False
NCB30,14.6,0.8308792770612932,Household,196.5084,OUT035,2004,1587.2672,9,True,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
FDC37,15.5,1.4001017843082437,Baking Goods,107.6938,OUT019,1985,214.3876,28,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
FDR28,13.85,0.9977857938893345,Frozen Foods,165.021,OUT046,1997,4078.025,16,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False
NCD06,13.0,1.0035584629112675,Household,45.906,OUT017,2007,838.908,6,True,False,True,False,False,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False
FDV10,7.645,0.9505941754344647,Snack Foods,42.3112,OUT035,2004,1065.28,9,False,True,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False
DRJ59,11.65,0.905229667308957,Hard Drinks,39.1164,OUT013,1987,308.9312,26,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
FDE51,5.925,1.390779585451742,Dairy,45.5086,OUT010,1998,178.4344,15,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
FDC14,14.5,1.4776096249780222,Canned,43.6454,OUT019,1985,125.8362,28,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
FDV38,19.25,1.4440173570865154,Dairy,55.7956,OUT010,1998,163.7868,15,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
NCS17,18.6,1.002948273918814,Health and Hygiene,96.4436,OUT018,2009,2741.7644,4,True,False,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
FDP33,18.7,0.8571428571428571,Snack Foods,256.6672,OUT018,2009,3068.0064,4,False,False,False,True,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
FDO23,17.85,0.8750000000000001,Breads,93.1436,OUT045,2002,2174.5028,11,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False
DRH01,17.5,0.8690040989458369,Soft Drinks,174.8738,OUT046,1997,2085.2856,16,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
NCX29,10.0,0.8494155173620084,Health and Hygiene,146.7102,OUT049,1999,3791.0652,14,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True
FDV20,20.2,0.8400182466211474,Fruits and Vegetables,128.0678,OUT027,1985,2797.6916,28,False,True,False,True,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False
DRZ11,8.85,1.0027970103240023,Soft Drinks,122.5388,OUT018,2009,1609.9044,4,False,True,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
FDX10,6.385000000000001,0.9944509267341656,Snack Foods,36.9874,OUT027,1985,388.1614,28,False,True,False,True,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False
FDB34,15.25,0.9067994382722705,Snack Foods,87.6198,OUT027,1985,2180.495,28,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False
FDU02,13.35,0.9021677878599482,Dairy,230.6352,OUT046,1997,3435.528,16,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False
FDK43,9.8,0.886395893739413,Meat,126.002,OUT013,1987,2150.534,26,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False
FDA46,13.6,1.0009916175079747,Snack Foods,192.9136,OUT049,1999,2527.3768,14,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True
FDC02,21.35,0.9029432247464673,Canned,259.9278,OUT018,2009,6768.5228,4,False,False,False,True,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
FDL50,12.15,0.9965636795510625,Canned,126.5046,OUT013,1987,373.5138,26,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False
FDM39,6.42,1.4750345089700512,Dairy,178.1002,OUT010,1998,358.2004,15,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
NCP05,19.6,0.7999999999999999,Health and Hygiene,153.3024,OUT045,2002,2428.8384,11,True,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False
FDV49,10.0,1.001589882218445,Canned,265.2226,OUT045,2002,5815.0972,11,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False
FDL12,15.85,0.8703209432274565,Baking Goods,60.622,OUT046,1997,2576.646,16,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False
FDS02,10.195,1.533242889742129,Dairy,196.8794,OUT019,1985,780.3176,28,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
NCL17,7.39,0.9976204487568417,Health and Hygiene,143.8812,OUT046,1997,3134.5864,16,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False
FDM40,10.195,1.124531708576035,Frozen Foods,141.5154,OUT013,1987,850.8924,26,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False
FDR13,9.895,0.9975729965176114,Canned,117.0492,OUT013,1987,810.9444,26,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False
FDA43,10.895,0.8855960961324091,Fruits and Vegetables,196.3794,OUT017,2007,3121.2704,6,False,False,True,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False
NCP18,12.15,1.0044681048166684,Household,151.4708,OUT017,2007,4815.0656,6,True,False,True,False,False,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False
FDK21,7.905,0.9151200106675108,Snack Foods,249.0408,OUT018,2009,6258.52,4,False,False,False,True,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
NCX54,9.195,0.9135444048667141,Household,106.1622,OUT045,2002,2117.244,11,True,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False
DRK35,8.365,0.84977679669688,Hard Drinks,38.0506,OUT049,1999,796.9626,14,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
